secao_letra,secao_descricao,cnae,descricao_cnae,,,,,,,secao_letra
A,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",01.11-3,Cultivo de cereais,,,,,,,A
A,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",01.12-1,Cultivo de algodão herbáceo e de outras fibras de lavoura temporária,,,,,,,A
A,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",01.12-1,Cultivo de algodão herbáceo e de outras fibras de lavoura temporária,,,,,,,A
A,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",01.13-0,Cultivo de cana-de-açúcar,,,,,,,A
A,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",01.14-8,Cultivo de fumo,,,,,,,A
A,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",01.15-6,Cultivo de soja,,,,,,,A
A,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",01.16-4,"Cultivo de oleaginosas de lavoura temporária, exceto soja",,,,,,,A
A,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,,,,,,,A
A,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente,,,,,,,A
A,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",01.21-1,Horticultura,,,,,,,A
A,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",01.22-9,Cultivo de flores e plantas ornamentais,,,,,,,A
A,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",01.31-8,Cultivo de laranja,,,,,,,A
A,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",01.32-6,Cultivo de uva,,,,,,,A
A,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",,,,,,,A
A,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",01.33-4,"Cultivo de frutas de lavoura permanente, exceto laranja e uva",,,,,,,A
A,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",01.34-2,Cultivo de café,,,,,,,A
A,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",01.35-1,Cultivo de cacau,,,,,,,A
A,"Agricultura, pecuária, produção florestal, pesca e aqüicultura",01.39-3,Cultivo de plantas de lavoura permanente não especificadas anteriormente,,,,,,,A
