CNAE,Estoque,Admissoes,Desligamentos,Ano,Mes
39568756,1510115,1397995,39786083,2020,1
1520107,80141,63464,1522197,2020,1
7780799,254989,197144,7822052,2020,1
222128,3499,3401,223385,2020,1
7085654,243037,185544,7123581,2020,1
129964,1283,1689,130221,2020,1
343053,7170,6510,344865,2020,1
2093460,154769,119921,2118435,2020,1
8969082,334956,386829,8977893,2020,1
19205368,685260,630637,19345567,2020,1
2424831,71575,72754,2434630,2020,1
2005311,102757,98631,2018012,2020,1
8081958,345455,314750,8113148,2020,1
961653,32533,27744,965151,2020,1
955130,15782,13720,957167,2020,1
164174,6398,5218,165426,2020,1
1194220,53561,42472,1202090,2020,1
4806781,237181,225596,4823314,2020,1
5390323,120186,106238,5466845,2020,1
982469,4404,4946,993876,2020,1
1908566,55512,47029,1963221,2020,1
2499288,60270,54263,2509748,2020,1
203,87,91,225,2020,1
1302742,45200,38173,1312707,2020,1
266757,11167,8672,268836,2020,1
1033870,33952,29469,1041746,2020,1
2115,81,32,2125,2020,1
-60,0,0,-61,2020,1
39568756,1613708,1396381,39491102,2020,2
1520107,79975,77885,1514782,2020,2
7780799,266780,225527,7776745,2020,2
222128,4676,3419,223200,2020,2
7085654,251500,213573,7077897,2020,2
129964,1638,1381,130236,2020,2
343053,8966,7154,345412,2020,2
2093460,147082,122107,2099683,2020,2
8969082,359990,351179,8889426,2020,2
19205368,759881,619682,19210527,2020,2
2424831,82375,72576,2427128,2020,2
2005311,108236,95535,1921878,2020,2
8081958,333324,302134,8069319,2020,2
961653,30454,26956,964745,2020,2
955130,15683,13646,958931,2020,2
164174,6351,5099,165421,2020,2
1194220,49973,42103,1198740,2020,2
4806781,230863,214330,4781482,2020,2
5390323,184078,107556,5489946,2020,2
982469,16336,4929,997477,2020,2
1908566,102627,47972,1974369,2020,2
2499288,65115,54655,2518100,2020,2
203,99,77,212,2020,2
1302742,51769,41804,1302044,2020,2
266757,10710,8631,262811,2020,2
1033870,41024,33148,1037109,2020,2
2115,35,25,2124,2020,2
-60,0,1,-61,2020,2
39568756,1459461,1754442,38509713,2020,3
1520107,76550,83965,1506430,2020,3
7780799,237845,283152,7560519,2020,3
222128,3823,4008,221813,2020,3
7085654,225009,270693,6866137,2020,3
129964,1368,1353,130291,2020,3
