análise_cnae,trabalho_extenuante_estressante,baixa_escolaridade_exigida,sazonalidade,alta_exigencia_tecnica,salario_mais_elevado,interesse_em_reter_talentos,rotatividade,secao_cnae,codigo_cnae,descricao
"O CNAE 01.11-3 refere-se ao 'Cultivo de cereais', que inclui atividades agrícolas voltadas para o plantio e colheita de cereais como milho, trigo, arroz, entre outros. Este setor é caracterizado por um trabalho físico intenso, especialmente durante as épocas de plantio e colheita, o que pode ser considerado extenuante. A exigência de escolaridade é geralmente baixa, com muitos trabalhadores sendo contratados como mão de obra temporária ou sazonal. A sazonalidade é alta, pois as atividades agrícolas dependem de ciclos de cultivo e colheita, o que pode levar a períodos de alta demanda por mão de obra seguidos por períodos de baixa atividade. Os salários tendem a ser baixos, refletindo a baixa exigência de qualificação e a natureza temporária de muitos empregos. O interesse em reter talentos é geralmente baixo, pois a mão de obra é frequentemente contratada de forma sazonal e temporária, e o treinamento necessário é mínimo. Portanto, este CNAE provavelmente possui uma alta rotatividade devido a essas características.",sim,sim,sim,não,não,não,alta_rotatividade,A,01.11-3,Cultivo de cereais
"O CNAE 01.12-1 refere-se ao 'Cultivo de algodão herbáceo e de outras fibras de lavoura temporária'. Este tipo de atividade é caracterizado por ser sazonal, uma vez que o cultivo de algodão e outras fibras depende de ciclos de plantio e colheita, o que pode levar a períodos de alta demanda por mão de obra temporária. O trabalho no campo é geralmente físico e pode ser considerado extenuante. A exigência de escolaridade para os trabalhadores do campo é geralmente baixa, e os salários tendem a ser menores, refletindo a natureza do trabalho agrícola. Além disso, as empresas deste setor podem ter menos interesse em reter talentos devido à natureza temporária do trabalho e à disponibilidade de mão de obra. Portanto, é provável que este CNAE apresente alta rotatividade.",sim,sim,sim,não,não,não,alta_rotatividade,A,01.12-1,Cultivo de algodão herbáceo e de outras fibras de lavoura temporária
"O CNAE 01.13-0 refere-se ao 'Cultivo de cana-de-açúcar', uma atividade agrícola que é caracterizada por trabalho físico intenso, especialmente durante o plantio e a colheita. A exigência de escolaridade é geralmente baixa, com muitos trabalhadores sendo contratados para funções que não requerem formação técnica avançada. A atividade é altamente sazonal, com picos de demanda de mão de obra durante a colheita. Os salários tendem a ser baixos, refletindo a natureza do trabalho e a baixa exigência de qualificação. O interesse das empresas em reter talentos é geralmente baixo, pois a mão de obra é facilmente substituível e o treinamento necessário é mínimo. Portanto, é provável que este setor apresente alta rotatividade.",sim,sim,sim,não,não,não,alta_rotatividade,A,01.13-0,Cultivo de cana-de-açúcar
"O CNAE 01.14-8 refere-se ao 'Cultivo de fumo', uma atividade agrícola que envolve o plantio, cultivo e colheita de folhas de tabaco. Este setor é caracterizado por trabalho físico intenso, especialmente durante a colheita, e geralmente requer baixa escolaridade, com muitos trabalhadores temporários ou sazonais. O cultivo de fumo é altamente sazonal, com picos de demanda de mão de obra durante as épocas de plantio e colheita. Os salários tendem a ser baixos, refletindo a natureza sazonal e a baixa exigência de qualificação. Além disso, o interesse em reter talentos é geralmente baixo, pois a mão de obra é frequentemente contratada apenas para períodos específicos do ciclo agrícola. Portanto, é provável que este CNAE apresente alta rotatividade devido a essas características.",sim,sim,sim,não,não,não,alta_rotatividade,A,01.14-8,Cultivo de fumo
"O CNAE 01.15-6 refere-se ao 'Cultivo de soja', uma atividade agrícola que é altamente sazonal, com picos de demanda de trabalho durante o plantio e a colheita. O trabalho no cultivo de soja é fisicamente extenuante, exigindo esforço físico significativo, especialmente durante as épocas de plantio e colheita. A escolaridade exigida para a maioria das funções é baixa, com muitos trabalhadores temporários contratados para as safras. Os salários tendem a ser baixos, refletindo a natureza sazonal e a baixa exigência de qualificação. O interesse em reter talentos é geralmente baixo, pois a mão de obra é frequentemente temporária e sazonal. No entanto, para funções mais técnicas, como operadores de máquinas agrícolas, pode haver uma exigência técnica moderada e um interesse maior em retenção. No geral, o setor apresenta alta rotatividade devido à sazonalidade e às condições de trabalho.",sim,sim,sim,moderado,não,não,alta_rotatividade,A,01.15-6,Cultivo de soja
"O CNAE 01.16-4 refere-se ao 'Cultivo de oleaginosas de lavoura temporária, exceto soja', que inclui o cultivo de plantas como girassol, canola, amendoim, entre outras. Este tipo de atividade agrícola é caracterizado por ser sazonal, dependendo do ciclo de plantio e colheita das culturas. O trabalho no campo pode ser fisicamente extenuante, e geralmente não exige alta escolaridade, pois muitas das funções são operacionais e manuais. Os salários tendem a ser baixos, refletindo a natureza sazonal e a baixa exigência técnica. Além disso, o interesse em reter talentos é geralmente baixo, pois a mão de obra é frequentemente contratada de forma temporária para atender às demandas sazonais. Portanto, é provável que este CNAE apresente alta rotatividade devido à combinação de trabalho extenuante, baixa escolaridade exigida, alta sazonalidade e baixos salários.",sim,sim,sim,não,não,não,alta_rotatividade,A,01.16-4,"Cultivo de oleaginosas de lavoura temporária, exceto soja"
"O CNAE 01.19-9 refere-se ao 'Cultivo de plantas de lavoura temporária não especificadas anteriormente', que abrange atividades agrícolas relacionadas ao cultivo de plantas que não se enquadram em outras categorias específicas de lavouras temporárias. Este tipo de atividade geralmente envolve trabalho físico intenso, especialmente durante períodos de plantio e colheita, o que pode ser extenuante. A exigência de escolaridade é geralmente baixa, com muitos trabalhadores sendo contratados para funções que não requerem formação técnica avançada. A sazonalidade é uma característica marcante, pois o trabalho é altamente dependente de ciclos de cultivo e colheita, o que pode levar a períodos de alta demanda por mão de obra seguidos por períodos de baixa ou nenhuma atividade. Os salários tendem a ser baixos, refletindo a natureza do trabalho e a baixa exigência de qualificação. O interesse em reter talentos é geralmente baixo, pois a mão de obra é frequentemente contratada de forma temporária para atender às necessidades sazonais. Portanto, é provável que este CNAE apresente alta rotatividade devido a essas características.",sim,sim,sim,não,não,não,alta_rotatividade,A,01.19-9,Cultivo de plantas de lavoura temporária não especificadas anteriormente
"O CNAE 01.21-1 refere-se à 'Horticultura', que envolve o cultivo de flores, plantas ornamentais, hortaliças, legumes e outros produtos vegetais. Este setor é caracterizado por trabalho físico intenso, especialmente em atividades de plantio, colheita e manutenção das culturas. A escolaridade exigida geralmente é baixa, com muitos trabalhadores sendo contratados para funções que não requerem formação técnica avançada. A horticultura é altamente sazonal, com picos de demanda em determinadas épocas do ano, como durante a colheita. Os salários tendem a ser baixos, refletindo a baixa exigência de qualificação e a natureza sazonal do trabalho. O interesse das empresas em reter talentos é geralmente baixo, pois a mão de obra pode ser facilmente substituída devido à baixa especialização exigida. Portanto, este CNAE provavelmente apresenta alta rotatividade.",sim,sim,sim,não,não,não,alta_rotatividade,A,01.21-1,Horticultura
"O CNAE 01.22-9 refere-se ao 'Cultivo de flores e plantas ornamentais'. Este setor é caracterizado por atividades agrícolas que podem ser fisicamente exigentes, especialmente durante períodos de plantio e colheita. A escolaridade exigida para a maioria das funções é geralmente baixa, com muitos trabalhadores sendo contratados para tarefas manuais. A sazonalidade é uma característica marcante, pois a demanda por flores e plantas ornamentais pode variar ao longo do ano, especialmente em datas comemorativas como o Dia das Mães e o Dia dos Namorados. Os salários tendem a ser baixos, refletindo a baixa exigência de qualificação técnica. O interesse em reter talentos pode ser limitado, já que o treinamento necessário para a maioria das funções não é intensivo ou caro. Portanto, é provável que este setor apresente alta rotatividade devido a essas características.",sim,sim,sim,não,não,não,alta_rotatividade,A,01.22-9,Cultivo de flores e plantas ornamentais
"O CNAE 01.31-8 refere-se ao 'Cultivo de laranja', uma atividade agrícola que geralmente envolve trabalho físico intenso, especialmente durante as colheitas. A exigência de escolaridade para os trabalhadores é geralmente baixa, com muitos empregados temporários ou sazonais contratados durante os períodos de colheita. O trabalho é altamente sazonal, com picos de demanda durante a colheita e menor atividade em outras épocas do ano. Os salários tendem a ser baixos, refletindo a natureza do trabalho agrícola no Brasil. Além disso, o interesse das empresas em reter talentos é geralmente baixo, pois a mão de obra é frequentemente substituível e o treinamento necessário é mínimo. Portanto, é provável que esse tipo de atividade apresente alta rotatividade.",sim,sim,sim,não,não,não,alta_rotatividade,A,01.31-8,Cultivo de laranja
